postal code,place name,county
85607,Douglas,Cochise
85627,Pomerene,Cochise
85643,Willcox,Cochise
85931,Forest Lakes,Coconino
86011,Flagstaff,Coconino
86017,Munds Park,Coconino
86351,Sedona,Coconino
85531,Central,Graham
85009,Phoenix,Maricopa
85021,Phoenix,Maricopa
85027,Phoenix,Maricopa
85037,Phoenix,Maricopa
85061,Phoenix,Maricopa
85087,New River,Maricopa
85201,Mesa,Maricopa
85213,Mesa,Maricopa
85259,Scottsdale,Maricopa
85297,Gilbert,Maricopa
85303,Glendale,Maricopa
85331,Cave Creek,Maricopa
85361,Wittmann,Maricopa
85363,Youngtown,Maricopa
85381,Peoria,Maricopa
86413,Golden Valley,Mohave
86441,Dolan Springs,Mohave
85933,Overgaard,Navajo
86029,Sun Valley,Navajo
85601,Arivaca,Pima
85619,Mount Lemmon,Pima
85639,Topawa,Pima
85703,Tucson,Pima
85711,Tucson,Pima
85717,Tucson,Pima
85733,Tucson,Pima
85751,Tucson,Pima
85121,Bapchule,Pinal
85147,Sacaton,Pinal
85193,Casa Grande,Pinal
85621,Nogales,Santa Cruz
86323,Chino Valley,Yavapai
86341,Sedona,Yavapai
85333,Dateland,Yuma
85369,Yuma,Yuma
